instruction,input_context,output,task_type,difficulty,safety_constraints
딱딱한 fabric 공을 의자에 가져와라,"객체: 딱딱한 fabric 공, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.7321743848991439, ""stiffness"": ""hard"", ""fragility"": 0.07311327028568845}, ""confidence"": 0.7153761636686978}",pull,medium,
작은 metal 그릇을 상자에 밀어내라,"객체: 작은 metal 그릇, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.2036916078808679, ""stiffness"": 90.26414349431604, ""fragility"": 0.7052422939037443}, ""confidence"": 0.7097606627437723}",push,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
거친 wood 컵을 선반에 가져와라,"객체: 거친 wood 컵, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 0.008962267935161833, ""fragility"": 0.06253236345785054}, ""confidence"": 0.902357470044381}",pull,medium,
깨지기쉬운 glass 접시을 테이블에 들어라,"객체: 깨지기쉬운 glass 접시, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": 0.8320465208148218, ""stiffness"": 0.00923213526203572, ""fragility"": ""fragile""}, ""confidence"": 0.9296423052905414}",pick,easy,
작은 ceramic 인형을 바구니에 이동시켜라,"객체: 작은 ceramic 인형, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.5142125538180556, ""stiffness"": 225.32371063121323, ""fragility"": 0.08783864963355502}, ""confidence"": 0.827398289800104}",move,easy,
미끄러운 glass 펜을 침대에 가져와라,"객체: 미끄러운 glass 펜, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.06458740734072647, ""fragility"": 0.06497487284297923}, ""confidence"": 0.8243051314702836}",pull,medium,
가벼운 wood 공을 테이블에 올려놓아라,"객체: 가벼운 wood 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.34, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""light"", ""friction"": 0.18198138578895406, ""stiffness"": 89.99005038801585, ""fragility"": 0.880058500649762}, ""confidence"": 0.9403976068989828}",place,hard,fragile_handling|gentle_grip|secure_grip|slow_movement|precise_positioning
딱딱한 wood 펜을 테이블에 밀어라,"객체: 딱딱한 wood 펜, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": 0.5507227967743121, ""stiffness"": ""hard"", ""fragility"": 0.11341096408882918}, ""confidence"": 0.7971557296983947}",push,medium,
깨지기쉬운 metal 펜을 상자에 밀어라,"객체: 깨지기쉬운 metal 펜, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.5347778910287831, ""stiffness"": 215.37268587097645, ""fragility"": ""fragile""}, ""confidence"": 0.7900180080808756}",push,medium,
가벼운 plastic 접시을 테이블에 잡아라,"객체: 가벼운 plastic 접시, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""light"", ""friction"": 0.4892193812833428, ""stiffness"": 13.283663998521762, ""fragility"": 0.2886102580094964}, ""confidence"": 0.8365910010670534}",pick,easy,
거친 metal 책을 선반에 밀어내라,"객체: 거친 metal 책, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 244.33191256592517, ""fragility"": 0.14904954215801988}, ""confidence"": 0.8514027518868557}",push,medium,
깨지기쉬운 plastic 접시을 바구니에 집어라,"객체: 깨지기쉬운 plastic 접시, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": 0.4249772545041931, ""stiffness"": 9.184353554250947, ""fragility"": ""fragile""}, ""confidence"": 0.7284031674650511}",pick,easy,
큰 fabric 펜을 상자에 옮겨라,"객체: 큰 fabric 펜, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.776773068927824, ""stiffness"": 0.14088771576141174, ""fragility"": 0.06974272487299253}, ""confidence"": 0.9381738724935728}",move,easy,
부드러운 wood 공을 상자에 전진시켜라,"객체: 부드러운 wood 공, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.7, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": 0.2783051701961796, ""stiffness"": ""soft"", ""fragility"": 0.4823244689937023}, ""confidence"": 0.8395627746166264}",push,hard,secure_grip|slow_movement
작은 plastic 펜을 선반에 이동시켜라,"객체: 작은 plastic 펜, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": 0.8326455432411151, ""stiffness"": 0.01093361162026493, ""fragility"": 0.05570339440762839}, ""confidence"": 0.9346663763322649}",move,easy,
부드러운 ceramic 공을 선반에 전진시켜라,"객체: 부드러운 ceramic 공, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.17951921529060288, ""stiffness"": ""soft"", ""fragility"": 0.9380061769602804}, ""confidence"": 0.8623656636911646}",push,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
가벼운 glass 병을 의자에 집어라,"객체: 가벼운 glass 병, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""light"", ""friction"": 0.8077136590268336, ""stiffness"": 0.008962267935161833, ""fragility"": 0.06253236345785054}, ""confidence"": 0.7276299677750501}",pick,easy,
가벼운 wood 공을 테이블에 옮겨라,"객체: 가벼운 wood 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""light"", ""friction"": 0.7031154905818919, ""stiffness"": 0.06458740734072647, ""fragility"": 0.06497487284297923}, ""confidence"": 0.7830936646207134}",move,easy,
거친 ceramic 공을 바구니에 옮겨라,"객체: 거친 ceramic 공, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 14.758803235079721, ""fragility"": 0.23764261564055733}, ""confidence"": 0.7722765996610135}",move,easy,
큰 fabric 그릇을 의자에 전진시켜라,"객체: 큰 fabric 그릇, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.6233780589590608, ""stiffness"": 271.6283019064253, ""fragility"": 0.06274277112893555}, ""confidence"": 0.9389874682120948}",push,medium,
부드러운 ceramic 책을 상자에 가져가라,"객체: 부드러운 ceramic 책, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.7345807169022752, ""stiffness"": ""soft"", ""fragility"": 0.02534513953993007}, ""confidence"": 0.8903492565355905}",pick,easy,
무거운 wood 블록을 바구니에 집어라,"객체: 무거운 wood 블록, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""heavy"", ""friction"": 0.8077136590268336, ""stiffness"": 0.008962267935161833, ""fragility"": 0.06253236345785054}, ""confidence"": 0.7261063626897041}",pick,easy,
미끄러운 plastic 책을 침대에 놓아라,"객체: 미끄러운 plastic 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 80.4097830255406, ""fragility"": 1.0}, ""confidence"": 0.9281729531536709}",place,hard,fragile_handling|gentle_grip|precise_positioning
가벼운 metal 인형을 의자에 당겨라,"객체: 가벼운 metal 인형, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""light"", ""friction"": 0.8942580972876684, ""stiffness"": 0.007510604098465331, ""fragility"": 0.07068441901950073}, ""confidence"": 0.7638871644531491}",pull,medium,
거친 ceramic 컵을 바구니에 배치해라,"객체: 거친 ceramic 컵, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 8.24687018021564, ""fragility"": 0.18475734768332433}, ""confidence"": 0.8028605035443943}",place,medium,precise_positioning
무거운 metal 펜을 침대에 가져가라,"객체: 무거운 metal 펜, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""heavy"", ""friction"": 0.7576654895113161, ""stiffness"": 0.010647693268284707, ""fragility"": 0.054247410007464004}, ""confidence"": 0.9360619264999387}",pick,easy,
거친 metal 책을 테이블에 밀어라,"객체: 거친 metal 책, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 195.47408959449518, ""fragility"": 0.09275298601749604}, ""confidence"": 0.7684189309274352}",push,medium,
작은 ceramic 접시을 의자에 이동시켜라,"객체: 작은 ceramic 접시, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.3581234092106792, ""stiffness"": 80.4097830255406, ""fragility"": 1.0}, ""confidence"": 0.8784325007061465}",move,medium,fragile_handling|gentle_grip
부드러운 ceramic 인형을 바구니에 전진시켜라,"객체: 부드러운 ceramic 인형, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.21337030339730478, ""stiffness"": ""soft"", ""fragility"": 0.7487896860639109}, ""confidence"": 0.7611624316418203}",push,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
가벼운 wood 상자을 테이블에 놓아라,"객체: 가벼운 wood 상자, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""light"", ""friction"": 0.9105649690016302, ""stiffness"": 0.011838160722492766, ""fragility"": 0.06852767751362203}, ""confidence"": 0.8440894736034374}",place,medium,precise_positioning
